word,count
the,17114
i,15938
you,13012
a,10670
to,7718
in,6641
me,6143
my,5965
and,5575
of,4845
on,3956
oh,3823
it,3739
is,3364
your,3321
love,3199
i'm,3192
yeah,2847
no,2580
all,2493
that,2461
was,2429
don't,2292
for,2244
when,2227
this,2215
baby,2113
know,2106
up,2048
we,2002
be,1998
it's,1937
so,1910
down,1905
do,1815
time,1746
with,1744
got,1713
are,1686
like,1631
out,1576
well,1541
now,1532
go,1529
just,1516
one,1497
what,1484
la,1454
if,1453
come,1429
night,1386
i've,1345
can,1343
have,1343
hey,1305
by,1304
been,1297
at,1266
say,1247
you're,1242
see,1241
here,1236
day,1217
want,1184
from,1171
html,1162
get,1160
she,1148
there,1064
little,1030
never,1019
man,966
way,942
there's,931
life,918
long,902
can't,882
girl,872
how,858
take,850
not,848
as,844
tell,816
away,816
they,804
he,787
her,771
verse,760
look,726
feel,721
heart,721
eyes,720
world,716
back,708
let,707
good,685
ooh,681
chorus,674
am,672
will,672
morning,660
1,652
where,632
right,627
were,622
had,621
could,620
why,619
but,617
again,616
about,611
some,610
gonna,607
around,583
every,581
an,581
old,577
through,574
too,569
think,564
over,558
need,557
make,555
said,549
give,522
home,522
who,522
i'll,521
mind,516
more,501
sun,500
alone,492
hear,488
ah,481
tonight,463
last,459
na,456
people,450
ain't,446
only,446
ever,445
our,426
da,425
into,421
boy,419
you've,411
blue,402
dream,396
gone,391
light,389
his,381
she's,374
walk,371
hard,368
new,366
run,366
song,361
that's,359
remember,358
two,357
came,355
first,353
much,352
always,347
would,346
cry,345
today,343
another,343
once,343
before,341
lonely,341
something,341
won't,336
please,335
live,335
saw,333
uh,332
young,331
town,330
things,329
days,328
head,326
keep,326
-,326
hold,326
many,324
sweet,323
place,323
wanna,322
rain,321
christmas,321
call,320
lord,320
comes,320
us,318
has,318
yes,316
face,315
we're,315
really,315
or,314
did,308
going,307
sky,306
told,305
times,303
off,303
better,301
road,300
looking,298
left,298
still,298
big,297
ya,297
money,294
believe,293
feeling,293
bad,292
used,290
thing,290
street,287
friend,285
find,283
city,281
woman,280
whoa,279
high,277
sometimes,276
nothing,275
thought,275
lost,275
made,273
god,273
born,272
dance,269
heard,269
him,267
try,265
hand,262
leave,262
intro,262
these,261
seen,258
music,258
wrong,257
fire,257
let's,256
name,255
turn,255
everybody,253
i'd,253
must,251
door,247
mine,245
cold,243
gotta,242
talk,238
walking,238
inside,238
stop,237
words,237
should,237
black,237
sing,235
myself,234
wake,233
put,233
met,231
crazy,231
found,230
rock,225
shake,225
waiting,223
he's,222
everything,221
hello,221
written,219
four,219
years,219
soul,218
moon,218
stand,217
room,215
someone,214
house,213
child,213
round,213
wind,212
far,211
listen,211
easy,210
close,210
may,208
fall,207
coming,207
doo,207
knew,207
done,206
dark,206
alright,206
open,205
late,203
than,202
falling,200
free,200
went,200
took,200
stay,199
window,199
goodbye,199
pretty,197
show,196
three,194
dreams,193
after,193
work,192
ha,192
lady,190
them,189
what's,188
goes,188
ride,188
didn't,187
mama,187
while,187
play,185
sad,184
honey,184
ago,182
river,182
standing,182
change,181
watch,180
heaven,179
daddy,178
along,177
true,177
story,177
line,176
real,175
babe,175
those,174
upon,174
very,173
sleep,173
end,172
stars,171
smile,171
white,170
care,170
red,170
hot,169
dear,169
wait,169
then,168
other,168
side,168
kiss,168
lights,167
pum,167
deep,166
wish,165
living,165
since,164
friends,163
girls,163
without,162
beautiful,162
same,162
bed,161
broken,160
across,156
hands,156
land,156
happy,154
ready,154
maybe,154
fine,153
lie,153
roll,152
yourself,151
walked,150
break,150
lot,150
outside,149
die,149
sitting,148
woke,148
jesus,148
yo,148
sit,147
talking,147
fool,146
help,146
together,146
move,145
'bout,145
tried,143
summer,143
kind,143
sea,143
ask,143
sound,142
thinking,142
o,141
water,141
fly,141
you'll,141
dead,141
lay,140
tears,140
pain,140
goin',138
seems,138
yea,138
somebody,137
own,137
mother,136
miss,135
best,135
we've,135
enough,134
car,133
train,131
touch,131
mean,130
knows,130
low,129
each,129
bye,129
yesterday,128
mr,128
party,126
forever,126
star,125
any,125
lover,125
nights,125
running,124
above,124
holy,123
calling,123
somewhere,123
cool,123
nobody,123
king,123
huh,123
their,122
eye,122
lose,122
hair,122
mountain,121
start,121
year,120
under,119
its,119
early,118
dog,118
five,118
streets,117
darkness,117
wall,117
darling,117
bright,117
arms,117
such,116
beat,115
father,115
anything,115
loved,115
'cause,114
hit,113
school,113
getting,113
ay,113
trouble,112
wonder,112
lead,111
understand,111
earth,111
makes,110
does,110
bells,110
midnight,110
full,110
tired,110
word,109
evening,109
fast,107
gave,106
who's,106
alive,105
kill,105
hope,104
guess,104
called,104
loving,104
feet,103
moment,103
strange,103
